CATEGORY_EVENT,COUNTRY_SRC,IP_DST,IP_SRC,PORT_DST,PORT_SRC
Traffic Log,AU,143.45.251.101,1.43.23.233,7547,26017
Traffic Log,JP,143.45.246.135,1.21.11.162,29923,53
Traffic Log,AU,143.46.17.125,1.43.23.233,7547,48682
Traffic Log,AU,155.6.212.71,1.40.160.106,55990,49930
Traffic Log,JP,155.6.212.55,1.0.112.224,55982,57235
Traffic Log,AU,143.214.68.105,1.42.90.46,60074,62348
Traffic Log,AU,141.190.191.153,1.43.23.233,7547,43689
Traffic Log,MY,143.45.138.221,1.9.44.249,2361,53
Traffic Log,AU,155.6.212.71,1.40.160.106,55990,51268
Traffic Log,IN,155.5.184.208,1.22.214.30,20188,53
Traffic Log,AU,150.137.247.143,1.41.151.71,7547,13331
Traffic Log,AU,155.6.17.231,1.41.151.71,7547,13331
Traffic Log,MY,143.46.176.248,1.9.108.33,12118,53
Traffic Log,AU,143.214.1.183,1.41.151.71,7547,13331
Traffic Log,IN,143.214.208.255,1.22.91.130,20653,53
Traffic Log,MY,143.213.170.212,1.9.39.42,10880,53
Traffic Log,AU,150.133.155.128,1.41.151.71,7547,13331
Traffic Log,JP,155.6.211.199,1.0.98.109,7414,1571
Traffic Log,AU,150.137.20.120,1.43.23.233,7547,43689
Traffic Log,MY,155.5.181.105,1.9.126.51,19317,53
Traffic Log,KR,143.212.196.44,1.11.111.96,44264,51413
Traffic Log,KR,155.5.158.133,1.11.132.46,29708,57107
Traffic Log,AU,150.133.221.223,1.41.151.71,7547,13331
Traffic Log,AU,143.45.212.132,1.43.23.233,7547,56184
Traffic Log,AU,143.214.13.246,1.41.151.71,7547,13331
Traffic Log,AU,141.190.40.20,1.43.23.233,7547,43689
Traffic Log,JP,155.6.212.55,1.0.112.224,55982,63710
Traffic Log,AU,141.190.255.39,1.43.23.233,7547,43689
Traffic Log,AU,155.5.216.124,1.120.96.193,7547,35622
Traffic Log,MY,155.6.47.174,1.9.108.33,50618,53
Traffic Log,AU,150.137.75.153,1.41.151.71,7547,13331
Traffic Log,AU,141.190.191.153,1.43.23.233,7547,43689
Traffic Log,AU,143.45.99.61,1.41.151.71,7547,13331
Traffic Log,AU,155.5.171.63,1.120.96.193,7547,35622
Traffic Log,AU,150.133.109.251,1.41.151.71,7547,13331
Traffic Log,AU,155.6.53.229,1.43.23.233,7547,11898
Traffic Log,MY,143.45.213.6,1.9.126.51,21346,53
Traffic Log,AU,143.214.7.179,1.43.23.233,7547,43689
Traffic Log,JP,155.6.212.55,1.0.112.224,55982,57235
Traffic Log,MY,143.45.20.54,1.9.24.193,37520,53
Traffic Log,AU,155.6.212.55,1.40.246.217,55982,52725
Traffic Log,AU,143.45.4.105,1.43.23.233,7547,43689
Traffic Log,MY,143.46.211.202,1.9.126.54,21032,53
Traffic Log,AU,155.5.212.53,1.40.237.143,55982,55352
Traffic Log,MY,155.5.114.6,1.9.47.57,2066,53
Traffic Log,KR,143.214.62.105,1.11.132.46,11802,57107
Traffic Log,AU,155.5.212.53,1.40.141.22,55982,53997
Traffic Log,AU,155.6.212.71,1.40.160.106,55990,5926
Traffic Log,AU,141.190.169.57,1.41.151.71,7547,13331
Traffic Log,KR,150.133.14.210,1.11.132.46,53824,57107
Traffic Log,AU,155.6.212.71,1.40.160.106,55990,52905
Traffic Log,AU,143.46.136.89,1.41.151.71,7547,13331
Traffic Log,AU,143.213.6.118,1.43.23.233,7547,43689
Traffic Log,JP,155.6.212.55,1.0.112.224,55982,58882
Traffic Log,AU,143.46.4.88,1.41.151.71,7547,13331
Traffic Log,MY,141.190.167.188,1.9.16.179,9018,53
Traffic Log,MY,143.214.213.213,1.9.108.33,21891,53
Traffic Log,AU,143.46.56.103,1.41.151.71,7547,13331
Traffic Log,AU,155.5.53.214,1.43.23.233,7547,43689
Traffic Log,AU,143.46.191.151,1.41.151.71,7547,13331
Traffic Log,MY,143.212.228.224,1.9.201.130,25738,53
Traffic Log,AU,143.213.4.35,1.43.23.233,7547,43689
Traffic Log,AU,141.190.130.224,1.43.23.233,7547,43689
Traffic Log,MY,143.46.138.187,1.9.223.122,2329,53
Traffic Log,AU,155.6.212.71,1.40.160.106,55990,59976
Traffic Log,AU,143.212.19.238,1.43.23.233,7547,51910
Traffic Log,IN,143.45.251.184,1.22.170.16,31252,53
